"price","profit","visitors","age","time"
16,7,91,347,2016-10-12
605,-6,1512,4272,2016-10-09
2300,118,82295,195,2016-10-08
80,0,0,1108,2016-10-08
1500,5,3262,1200,2016-10-07
250,13,1439,3422,2016-10-06
3000,4,1956,255,2016-10-04
800,33,3046,1869,2016-10-04
549,-4,0,1565,2016-10-01
200,0,0,5003,2016-09-30
4100,245,819,2964,2016-09-24
500,4,8314,2112,2016-09-24
1500,580,1610,1656,2016-09-15
550,0,142,531,2016-09-14
200,0,579,347,2016-09-14
1000,195,12914,561,2016-09-08
500,0,212,531,2016-09-05
310,13,2988,286,2016-09-04
99,0,2,620,2016-09-02
3500,90,22145,1900,2016-09-01
91,11,54,985,2016-08-31
1150,86,20444,561,2016-08-31
750,39,4625,3787,2016-08-31
140,7,2902,835,2016-08-29
50,9,21896,286,2016-08-27
215,0,508,1931,2016-08-23
5000,242,920,531,2016-08-23
50,0,23,2934,2016-08-23
64,-2,419,1412,2016-08-19
7300,976,147011,408,2016-08-18
1501,23,14992,1412,2016-08-17
130,0,155,1381,2016-08-16
150,0,56,255,2016-08-14
100,5,243,651,2016-08-13
250,0,76,4669,2016-08-13
99,0,57,3422,2016-08-12
800,653,4656,317,2016-08-10
7600,837,7822,592,2016-08-10
450,19,13721,1473,2016-08-09
2050,0,567,957,2016-08-08
300,-10,1233,896,2016-08-08
9000,461,17444,896,2016-08-06
850,75,3233,620,2016-08-05
199,0,366,470,2016-08-03
280,2,1686,195,2016-08-03
550,4,7070,1473,2016-08-02
950,0,16607,134,2016-08-02
867,150,26859,835,2016-08-01
200,0,2895,134,2016-08-01
700,8,3978,470,2016-07-31
1500,6,3983,286,2016-07-30
50,7,4021,347,2016-07-30
65,4,148,773,2016-07-29
200,0,7798,347,2016-07-29
265,20,6675,865,2016-07-29
400,5,1008,2446,2016-07-28
39,0,125,286,2016-07-28
2000,406,22749,195,2016-07-28
5250,60,198,5034,2016-07-28
2700,16,10039,1626,2016-07-28
100,19,64,2234,2016-07-28
750,88,218,620,2016-07-27
800,5,3435,378,2016-07-27
200,0,797,1169,2016-07-26
230,9,2345,317,2016-07-26
2500,125,42920,1716,2016-07-26
50,0,896,835,2016-07-25
55,9,5361,317,2016-07-25
1800,61,13559,1992,2016-07-22
10000,482,50741,1931,2016-07-21
955,27,9071,1016,2016-07-21
365,6,1333,2265,2016-07-21
50,0,39,1200,2016-07-20
1150,27,2174,1716,2016-07-20
360,7,1547,165,2016-07-20
611,2,755,1961,2016-07-20
5500,258,3622,2265,2016-07-19
1900,412,139299,226,2016-07-18
310,0,326,1200,2016-07-18
6,0,612,1200,2016-07-18
11,0,672,1200,2016-07-18
1,0,591,1200,2016-07-18
20,0,764,1200,2016-07-18
5000,18,6054,2296,2016-07-18
500,17,2511,957,2016-07-17
701,-10,1909,134,2016-07-16
1370,91,25591,226,2016-07-16
475,9,217,835,2016-07-16
39,1,18,165,2016-07-15
1500,630,64,378,2016-07-15
77,0,106,195,2016-07-15
3000,119,69609,226,2016-07-14
150,0,22,3087,2016-07-14
4650,88,127742,1230,2016-07-14
234,9,3481,378,2016-07-14
850,-2,700,2143,2016-07-14
50,0,34,865,2016-07-14
75,0,34,286,2016-07-13
2500,-197,19727,865,2016-07-13
1200,82,7790,1412,2016-07-13
1120,18,4207,1687,2016-07-12
120,-3,0,195,2016-07-12
500,6,2577,1261,2016-07-12
1450,-138,7376,1442,2016-07-12
50,19,32,592,2016-07-11
350,0,5110,408,2016-07-11
1800,49,8628,1108,2016-07-11
6000,-111,7568,1138,2016-07-11
1300,56,562,378,2016-07-11
3000,240,0,3056,2016-07-11
97,0,56,957,2016-07-11
116,-4,545,985,2016-07-10
9200,473,2122,1230,2016-07-10
100,0,18,165,2016-07-07
68,0,1538,104,2016-07-07
500,39,0,1626,2016-07-07
300,119,447,773,2016-07-06
675,16,2321,773,2016-07-06
1100,44,7153,1169,2016-07-06
1250,54,2097,3483,2016-07-06
350,0,596,1687,2016-07-06
355,46,26582,286,2016-07-06
1751,459,1813,317,2016-07-06
1300,120,72778,2477,2016-07-06
400,5,4910,896,2016-07-06
599,0,948,592,2016-07-06
760,0,70892,134,2016-07-05
2200,399,1768,1200,2016-07-05
193,30,4096,165,2016-07-04
260,16,18449,1230,2016-07-04
230,1,326,682,2016-07-04
325,14,1313,4091,2016-07-04
100,0,27,255,2016-07-03
1600,54,5601,773,2016-07-03
750,52,9661,1869,2016-07-02
350,11,3640,165,2016-07-01
1000,4,27029,347,2016-07-01
194,1,831,1200,2016-07-01
665,33,9139,1230,2016-07-01
261,183,38642,226,2016-06-30
100,0,14,896,2016-06-30
700,0,944,165,2016-06-29
8000,349,304406,5248,2016-06-29
30,0,613,1200,2016-06-29
299,11,5705,470,2016-06-29
350,0,84,592,2016-06-28
21,0,610,1200,2016-06-28
25,0,652,1200,2016-06-28
1000,0,756,500,2016-06-28
1000,446,3053,317,2016-06-27
100,0,65,3514,2016-06-26
180,1,1301,1291,2016-06-25
7000,546,8719,1747,2016-06-24
200,49,28404,408,2016-06-24
330,20,27,1350,2016-06-23
1250,0,10675,165,2016-06-23
600,0,1480,835,2016-06-23
1425,26,6101,926,2016-06-22
4800,325,31013,408,2016-06-22
4500,50,707,347,2016-06-22
1500,3,3310,317,2016-06-21
600,53,3935,195,2016-06-20
306,17,3578,1778,2016-06-20
350,11,3449,500,2016-06-19
1500,648,18812,226,2016-06-19
200,54,381,255,2016-06-18
803,118,8308,286,2016-06-18
5500,650,2186,1626,2016-06-18
21,0,731,1200,2016-06-17
1050,103,6037,712,2016-06-17
1101,65,12539,439,2016-06-17
800,10,338,255,2016-06-16
250,10,66,1108,2016-06-16
1799,131,2906,651,2016-06-16
150,0,946,2873,2016-06-16
4000,482,48374,347,2016-06-16
49,1,68,378,2016-06-16
1050,59,8087,743,2016-06-16
35,1,630,255,2016-06-15
755,4,832,4060,2016-06-15
90,2,360,165,2016-06-14
87,0,759,1200,2016-06-14
26,0,850,1200,2016-06-14
40,-1,7,865,2016-06-14
67,0,9,165,2016-06-14
1650,176,26618,1839,2016-06-13
20,-1,4,286,2016-06-13
1100,200,122063,531,2016-06-13
650,16,3174,439,2016-06-12
100,53,3858,317,2016-06-12
2000,13,11524,1565,2016-06-12
530,171,8303,317,2016-06-11
102,3,292,2418,2016-06-11
